== Sheet: Introduction ==
Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,CHOOSING THE RIGHT CYBER FUNDAMENTALS ASSURANCE LEVEL FOR YOUR ORGANIZATION,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,CyFun-Selection,,,,,,,,
,,,,,,,,,,,,
,"This tool is developed by the Centre for Cybersecurity Belgium to conduct an easy risk assessment resulting in a well-informed selection of the appropriate Cyber Fundamentals Assurance Level in the context of NIS2.
This tool does not impose a specific methodology regarding risk analysis used by an organisation in its day-to-day management.",,,,,,,,Change Log,,,
,,,,,,,,,Date,,Reason for change,
,,,,,,,,,2023-05-31 00:00:00,,Release for validation,
,,,,,,,,,2023-07-10 00:00:00,,Initial Release,
,,,,,,,,,2024-01-08 00:00:00,,Including feedback users,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,User Instructions,,,Criteria used in the model ,,,,,Applicable version of the CyberFundamentels framework,,,
,,,,Sectors identified in NIS2,,,,,Version,requirements,,Latest version published on www.cyfun.be
,,,,,,,,,Version,CAS (*),,Latest version published on www.cyfun.be
,,,,,,,,,(*) Conformity Assessment Scheme,,,

== Sheet: I.1_Energy ==
,Type of attack,Required protection value,,,"In global or un-targeted attacks (value 1), attackers indiscriminately target as many devices, services or users as possible. They do not care about who the victim is as there will be a number of machines or services with vulnerabilities.
Targeted attacks refer to a type of threat in which threat actors actively pursue and compromise a target entity's infrastructure. Typically these threat actors have a certain level of expertise and have sufficient resources to conduct their schemes over a long-term period. For this reason, a greater degree of protection is required
(value 2).",,,,,,,,,,
,Global,1,,,,,,,,,,,,,
,Targetted,2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Low,,,,,,,,,,,,,PROB,
,Med,,,,,,,,,,,,,HIGH,1.0
,,,,,,,,,,,,,,LOW,0.0
,,,,,,,,,,,,,,MED,0.5
,,,,,,,,,,,,,,IMP,
,,,,,,,,,,,,,,HIGH,10.0
,,,,,,,,,,,,,,LOW,0.0
,,,,,,,,,,,,,,MED,5.0

== Sheet: Sectors ==
Unnamed: 0,Unnamed: 1,Unnamed: 2
,,
,,
,,
,,
Sector,,Subsector
Annex I: Sectors of high criticality,,
I.1., Energy,"Electricity, district Heating &cooling, Oil, Gas, Hydrogen"
I.2, Transport,Air (commercial carriers; airports; traffic); Rail (infra and undertakings); Water (transport companies; ports; traffic services); Road (ITS & charging stations)
,,Special case: Public Transport: only if identified as CER
I.3,"Banking
Included in I.4 for the purpose of this application",Credit institutions    (attention: DORA lex specialis)
I.4,Financial Market Infrastructure,"Trading venues, central counterparties (attention: DORA lex specialis)"
I.5.,Healthcare,Healthcare providers; EU reference laboratories; R&D of medicinal products; manufacturing basic pharma products and preparations; manufacturing of medical devices critical during public health emergency
,,Special case:  entities holding a distribution authorization for medicinal products: only if identified as CER
I.6.,Drinking Water,"Suppliers and distributors of water intended for human consumption, excluding distributors for which distribution of water for human consumption is a non- essential part of their general activity of distributing other commodities and goods."
I.7.,Waste Water,"Undertakings collecting, disposing of or treating urban waste water, domestic waste water or industrial waste water, excluding undertakings for which collecting, disposing of or treating urban waste water, domestic waste water or industrial waste water is a non-essential part of their general activity."
I.8.,Digital Infrastructure,Qualified trust service providers
,,DNS service providers (excluding root name servers)
,,TLD name registries
,,Providers of public electronic communications networks
,,Non-qualified trust service providers
,,Internet Exchange Point providers
,,Cloud computing service providers
,,Data centre service providers
,,Content delivery network providers
I.9.," ICT-service management (B2B)
Included in I.8 for the purpose of this application","Managed Service Providers, Managed Security Service Providers"
I.10.,Public Administration entities,"Of central governments (excluding judiciary, parliaments, central banks; defence, national or public security)."
,,Of regional governments: risk based.
,,(Optional for Member States: of local governments)
I.11.,Space,Operators of ground-based infrastructure (by MS)
Annex II: other critical sectors,,
II.1.,Postal and courier services,"Postal service providers, including providers of courier services."
II.2.,Waste Management,"Undertakings carrying out waste management, excluding undertakings for whom waste management is not their principal economic activity."
II.3.,"Manufacture, production and distribution of chemicals","Manufacture, production, distribution"
II.4.,"Production, processing and distribution of food","Production, processing and distribution"
II.5.,Manufacturing,"Manufacture of medical devices and in vitro diagnostic medical devices; computer, electronic and optical products; electrical equipment; machinery and equipment; motor vehicles, trailers and semi-trailers; other transport equipment (NACE C 26-30)."
II.6.,Digital providers,"Providers of online marketplaces, online search engines and social networking services platforms."
II.7.,Research,Research organisations (excluding education institutions)
,,(Optional for Member States: education institutions)
Entities providing domain name registration services,,
